Area,Population_Density,Emergency_Cases,Nearby_Hospitals,Donation_Requests,Traffic_Level,Risk_Level,Recommended_Camp
Kandy Town,5200,120,4,80,High,High,Yes
Peradeniya,4100,75,3,45,Medium,Medium,No
Katugastota,4800,98,2,70,High,High,Yes
Gampola,3500,50,2,30,Low,Low,No
Akurana,4600,110,1,85,High,High,Yes
Digana,3000,40,1,20,Low,Low,No
Kaduwela,4300,95,3,60,High,Medium,Yes
Malabe,5000,105,4,72,High,High,Yes
Athurugiriya,3900,65,2,40,Medium,Medium,No
Battaramulla,4700,115,5,90,High,High,Yes
Hanwella,2800,35,1,18,Low,Low,No
Koswatta,4200,85,3,55,Medium,Medium,Yes
Piliyandala,3600,58,2,33,Medium,Low,No
Nugegoda,5100,125,5,95,High,High,Yes
Maharagama,4900,118,4,88,High,High,Yes
Kelaniya,4400,92,3,62,Medium,Medium,Yes
Kadawatha,4000,73,2,47,Medium,Medium,No
Wattala,4500,100,3,69,High,High,Yes
Dehiwala,5300,130,5,98,High,High,Yes
Mount Lavinia,4700,108,4,77,High,High,Yes
